product_name,price_of_the_product,properties,star_ratings,no_of_ratings,no_of_reviews
nexus pure PURE LED LIGHT BLACK COPPER + ALKALINE 10 L RO + UV + UF + TDS Water Purifier,"₹6,349","['Electrical & Storage', 'RO + UV + UF + TDS', '10 L Capacity', 'APPLICABLE ONLY SMPS POWERSUPPLY']",4.1,156,62
Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + MC Water Purifier,"₹7,999","['Electrical & Storage', 'RO + MC', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,981,188
Aqua Fresh 15_Liters_Green_NYC 15 L RO + UV + UF + TDS Water Purifier,"₹5,398","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', ""Water Purifier Product Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) â\x80¢ All service will chargeable""]",3.8,478,62
Pureit CLASSIC NXT 7 L RO + MF Water Purifier,"₹7,749","['Electrical & Storage', 'RO + MF', '7 L Capacity', '1 YEAR PUREIT INDIA WARRANTY']",4.4,901,152
Aqua Fresh NYC W COPPER+RO+UV+TDS 15 L WHITE AUTOMATIC ELECTRICAL BOREWELL 1500 TDS BEST HOME WATER PU...,"₹5,699","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '6 MONTH OFFSITE WARRANTY ON PUMP & SMPS, INSTALLATION WILL BE PROVIDED BY SELLER, BUYER HAS TO PAY RS. 400-700 FOR INSTALLATION OUR TECHNICIAN WILL VISIT BUYER WITH IN 2 TO 4 DAYS for query/installation 8178961873 between 10 am to 6 pm. after installation every visit will be chargeable 300. SUNDAY closed.']",3.8,"5,078",915
Hindware Calisto RO + UV + UF 7 L RO + UV + UF Water Purifier,"₹7,499","['Electrical & Storage', 'RO + UV + UF', '7 L Capacity', '1 Year Comprehensive Warranty from the Date of Installation ( 6 Months for All Filters + 1 Year for R.O Membrane).']",4,"18,523","4,294"
Prestige Tattva 1.0 SS 16 L Gravity Based + EAT Water Purifier,"₹2,849","['Non - Electrical & Storage', 'Gravity Based + EAT', '16 L Capacity', 'Manufacture Warranty']",3.9,"1,147",171
KENT Prime Plus ZW 9 L RO + UV + UF + TDS Water Purifier,"₹17,500","['Electrical & Storage', 'RO + UV + UF + TDS', '9 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.3,94,9
Prestige 49022 16 L Gravity Based Water Purifier,"₹3,570","['Non - Electrical & Storage', 'Gravity Based', '16 L Capacity', '1 Year Manufacturer Warranty']",3.9,239,40
Eureka Forbes Aquasure from Aquaguard Shield 6 L RO + UV + MP + MTDS Water Purifier,"₹7,999","['Electrical & Storage', 'RO + UV + MP + MTDS', '6 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,"15,824","3,715"
Aqua Fresh NYC Model 12 L RO_UV_UF_TDS 12 L RO + UV + UF + TDS Water Purifier,"₹5,129","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4.2,55,9
KENT GRAND STAR 9 L RO + UV + UF + TDS Control + UV in Tank Water Purifier,"₹18,529","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '9 L Capacity', '1 Year Warranty + 3 Years free service']",3.2,9,1
Ao Smith X7 Plus 9 L RO + SCMT Water Purifier,"₹14,490","['Electrical & Storage', 'RO + SCMT', '9 L Capacity', '1 Year Comprehensive Warranty & 1 Year RO Membrane Warranty if TDS is < 2000 ppm Hardness is < 400 ppm']",4.2,141,19
Aquaguard Glory 6 L RO + UV + MTDS Water Purifier with Active Copper technology,"₹14,999","['Electrical & Storage', 'RO + UV + MTDS', '6 L Capacity', '1 Year Manufacturer Warranty from the Date of Purchase, 1 Year Warranty on RO Membrane']",4.2,235,34
Aqua Fresh EPICAQUA++UV+UF+TDSADJUSTER 15 L RO Water Purifier,"₹5,249","['Electrical & Storage', 'RO', '15 L Capacity', ""Offsite Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) All service will chargeable.""]",4.1,596,92
Grand plus Misty port 15 ltr 15 L Gravity Based Water Purifier,"₹1,389","['Non - Electrical & Storage', 'Gravity Based', '15 L Capacity', '3 month warranty on only mechanical parts']",3.8,435,60
Prestige Clean Home Water Purifier PSWP 3.0 10 L Gravity Based Water Purifier,"₹1,925","['Non - Electrical & Storage', 'Gravity Based', '10 L Capacity', 'Manufacturer Warranty']",3.7,"1,946",254
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,814",424
Aqua Fresh aquafresh epic 15 L RO + UV + UF + TDS Water Purifier,"₹5,099","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '• TERMS AND CONDITION 1) Installation provided by seller charges Paid by customer RS450/- NCR Around 50 KM. , if customer will install by third party so warranty will avoid (withdrawal) 2) Membranes is not cover in warranty 3) RO Membrane will cover standard TDS of water (upto 1500-2000TDS) 4) Water Purifies body color may be differ against Shaw on website 5) Warranty cover for 1 Years ( MOTER , SMPS) 6) Our Executive Will solve customer problems within 24HR Customer care Timing is :- 10AM TO 7PM (MON TO SAT) SUNDAY CLOSE']",4,52,4
FABER Galaxy Plus mineral 8 stage 9 L RO + UV + MAT Water Purifier,"₹11,490","['Electrical & Storage', 'RO + UV + MAT', '9 L Capacity', '12 months Warranty on Product. It includes manufacturing defects but excludes physical damage. Technician Visit, if applicable, will be charged to the customer']",4.2,295,69
Royal Aquafresh Copper O D 12 L RO + UV + UF + TDS Water Purifier,"₹5,647","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', ""Warranty on MOTER/SMPS available from Manufacture. But Installation amount will be paid by customer 450-600/- . If any problem occurs during warranty period Then buyer will make courier at Manufacture or service center address after that Manufacture will replace MOTER/SMPS (Manufacture will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) Ã¢?Â¢ All service will chargeable.""]",4,220,29
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.5,443,48
nexus pure JAZZ BLACK COPPER + ALKALINE 10 L RO + UV + UF + TDS Water Purifier,"₹6,349","['Electrical & Storage', 'RO + UV + UF + TDS', '10 L Capacity', '6 MONTH WARRANTY APPLICABLE ONLY ON SMPS POWER SUPPLY']",4.1,"2,443",865
Aqua Fresh NYC BLU ro+uv+uf+tds+mineral 15 L 15 L RO + UV + UF + TDS Water Purifier,"₹4,999","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', 'OFFSITE WARRANTY ON ALL ELECTRONIC PARTS, INSTALLATION WILL BE PROVIDED BY SELLER, BUYER HAS TO PAY RS. 400 FOR INSTALLATION OUR TECHNICIAN WILL VISIT BUYER WITH IN 24 TO 48 HOURS. after installation every visit will be chargable. SUNDAY CLOSED']",3.8,175,31
LG WW140NP 8 L RO Water Purifier with Stainless Steel Tank,"₹17,199","['Electrical & Storage', 'RO', '8 L Capacity', '1 Year Warranty on Product , Additional 9 Year Warrenty on Stainess Steel Tank .']",4.4,969,106
Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + MC Water Purifier,"₹7,999","['Electrical & Storage', 'RO + MC', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,981,188
